data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-02,True,Conceição,2504405,SERTAO PARAIBANO,ITAPORANGA,5,0
2020-06-02,True,Condado,2504504,SERTAO PARAIBANO,SOUSA,39,0
2020-06-02,True,Conde,2504603,MATA PARAIBANA,JOAO PESSOA,102,2
2020-06-02,True,Congo,2504702,BORBOREMA,CARIRI OCIDENTAL,11,1
2020-06-02,True,Coremas,2504801,SERTAO PARAIBANO,PIANCO,17,0
2020-06-02,True,Coxixola,2504850,BORBOREMA,CARIRI OCIDENTAL,7,0
2020-06-02,True,Cruz do Espírito Santo,2504900,MATA PARAIBANA,SAPE,112,8
2020-06-02,True,Cubati,2505006,BORBOREMA,SERIDO ORIENTAL PARAIBANO,2,0
2020-06-02,True,Cuité,2505105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,10,0
2020-06-02,True,Cuité de Mamanguape,2505238,MATA PARAIBANA,LITORAL NORTE,6,0
2020-06-02,True,Cuitegi,2505204,AGRESTE PARAIBANO,GUARABIRA,48,1
2020-06-02,True,Curral de Cima,2505279,MATA PARAIBANA,LITORAL NORTE,10,0
2020-06-02,True,Curral Velho,2505303,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-02,True,Damião,2505352,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,1,0
2020-06-02,True,Desterro,2505402,SERTAO PARAIBANO,SERRA DO TEIXEIRA,10,0
2020-06-02,True,Diamante,2505600,SERTAO PARAIBANO,ITAPORANGA,0,0
2020-06-02,True,Dona Inês,2505709,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,3,0
2020-06-02,True,Duas Estradas,2505808,AGRESTE PARAIBANO,GUARABIRA,23,0
2020-06-02,True,Emas,2505907,SERTAO PARAIBANO,PIANCO,1,0
2020-06-02,True,Esperança,2506004,AGRESTE PARAIBANO,ESPERANCA,58,0
2020-06-02,True,Fagundes,2506103,AGRESTE PARAIBANO,CAMPINA GRANDE,7,0
2020-06-02,True,Frei Martinho,2506202,BORBOREMA,SERIDO ORIENTAL PARAIBANO,0,0
2020-06-02,True,Gado Bravo,2506251,AGRESTE PARAIBANO,UMBUZEIRO,23,1
2020-06-02,True,Guarabira,2506301,AGRESTE PARAIBANO,GUARABIRA,631,4
2020-06-02,True,Gurinhém,2506400,AGRESTE PARAIBANO,ITABAIANA,40,0
2020-06-02,True,Gurjão,2506509,BORBOREMA,CARIRI ORIENTAL,15,1
2020-06-02,True,Ibiara,2506608,SERTAO PARAIBANO,ITAPORANGA,4,0
2020-06-02,True,Igaracy,2502607,SERTAO PARAIBANO,PIANCO,2,0
2020-06-02,True,Imaculada,2506707,SERTAO PARAIBANO,SERRA DO TEIXEIRA,8,0
2020-06-02,True,Ingá,2506806,AGRESTE PARAIBANO,ITABAIANA,77,0
2020-06-02,True,Itabaiana,2506905,AGRESTE PARAIBANO,ITABAIANA,212,2
2020-06-02,True,Itaporanga,2507002,SERTAO PARAIBANO,ITAPORANGA,3,1
2020-06-02,True,Itapororoca,2507101,MATA PARAIBANA,LITORAL NORTE,38,1
2020-06-02,True,Itatuba,2507200,AGRESTE PARAIBANO,ITABAIANA,47,1
2020-06-02,True,Jacaraú,2507309,MATA PARAIBANA,LITORAL NORTE,7,1
2020-06-02,True,Jericó,2507408,SERTAO PARAIBANO,CATOLE DO ROCHA,2,0
2020-06-02,True,João Pessoa,2507507,MATA PARAIBANA,JOAO PESSOA,4467,126
2020-06-02,True,Joca Claudino,2513653,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-02,True,Juarez Távora,2507606,AGRESTE PARAIBANO,ITABAIANA,30,0
2020-06-02,True,Juazeirinho,2507705,BORBOREMA,SERIDO ORIENTAL PARAIBANO,54,0
2020-06-02,True,Junco do Seridó,2507804,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,11,1
2020-06-02,True,Juripiranga,2507903,MATA PARAIBANA,SAPE,93,1
2020-06-02,True,Juru,2508000,SERTAO PARAIBANO,SERRA DO TEIXEIRA,4,0
2020-06-02,True,Lagoa,2508109,SERTAO PARAIBANO,CATOLE DO ROCHA,3,0
2020-06-02,True,Lagoa de Dentro,2508208,AGRESTE PARAIBANO,GUARABIRA,8,0
2020-06-02,True,Lagoa Seca,2508307,AGRESTE PARAIBANO,CAMPINA GRANDE,98,2
2020-06-02,True,Lastro,2508406,SERTAO PARAIBANO,SOUSA,1,0
2020-06-02,True,Livramento,2508505,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-02,True,Logradouro,2508554,AGRESTE PARAIBANO,GUARABIRA,11,0
2020-06-02,True,Lucena,2508604,MATA PARAIBANA,JOAO PESSOA,59,1
2020-06-02,True,Mãe d'Água,2508703,SERTAO PARAIBANO,PATOS,3,0
2020-06-02,True,Malta,2508802,SERTAO PARAIBANO,SOUSA,14,0
2020-06-02,True,Mamanguape,2508901,MATA PARAIBANA,LITORAL NORTE,178,2
2020-06-02,True,Manaíra,2509008,SERTAO PARAIBANO,SERRA DO TEIXEIRA,2,0
2020-06-02,True,Marcação,2509057,MATA PARAIBANA,LITORAL NORTE,8,0
2020-06-02,True,Mari,2509107,MATA PARAIBANA,SAPE,120,3
2020-06-02,True,Marizópolis,2509156,SERTAO PARAIBANO,SOUSA,3,1
2020-06-02,True,Massaranduba,2509206,AGRESTE PARAIBANO,CAMPINA GRANDE,30,0
2020-06-02,True,Mataraca,2509305,MATA PARAIBANA,LITORAL NORTE,24,0
2020-06-02,True,Matinhas,2509339,AGRESTE PARAIBANO,BREJO PARAIBANO,18,0
2020-06-02,True,Mato Grosso,2509370,SERTAO PARAIBANO,CATOLE DO ROCHA,7,0
2020-06-02,True,Maturéia,2509396,SERTAO PARAIBANO,SERRA DO TEIXEIRA,11,0
2020-06-02,True,Mogeiro,2509404,AGRESTE PARAIBANO,ITABAIANA,5,1
2020-06-02,True,Montadas,2509503,AGRESTE PARAIBANO,ESPERANCA,10,0
2020-06-02,True,Monte Horebe,2509602,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-02,True,Monteiro,2509701,BORBOREMA,CARIRI OCIDENTAL,30,0
2020-06-02,True,Mulungu,2509800,AGRESTE PARAIBANO,GUARABIRA,17,0
2020-06-02,True,Natuba,2509909,AGRESTE PARAIBANO,UMBUZEIRO,7,0
2020-06-02,True,Nazarezinho,2510006,SERTAO PARAIBANO,SOUSA,1,0
2020-06-02,True,Nova Floresta,2510105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,1,0
2020-06-02,True,Nova Olinda,2510204,SERTAO PARAIBANO,PIANCO,2,0
2020-06-02,True,Nova Palmeira,2510303,BORBOREMA,SERIDO ORIENTAL PARAIBANO,3,0
2020-06-02,True,Olho d'Água,2510402,SERTAO PARAIBANO,PIANCO,13,0
2020-06-02,True,Olivedos,2510501,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,2,0
2020-06-02,True,Ouro Velho,2510600,BORBOREMA,CARIRI OCIDENTAL,1,0
2020-06-02,True,Parari,2510659,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-02,True,Passagem,2510709,SERTAO PARAIBANO,PATOS,8,0
2020-06-02,True,Patos,2510808,SERTAO PARAIBANO,PATOS,610,23
2020-06-02,True,Paulista,2510907,SERTAO PARAIBANO,SOUSA,17,0
2020-06-02,True,Pedra Branca,2511004,SERTAO PARAIBANO,ITAPORANGA,0,0
2020-06-02,True,Pedra Lavrada,2511103,BORBOREMA,SERIDO ORIENTAL PARAIBANO,0,0
2020-06-02,True,Pedras de Fogo,2511202,MATA PARAIBANA,LITORAL SUL,279,4
2020-06-02,True,Pedro Régis,2512721,MATA PARAIBANA,LITORAL NORTE,1,0
2020-06-02,True,Piancó,2511301,SERTAO PARAIBANO,PIANCO,18,2
2020-06-02,True,Picuí,2511400,BORBOREMA,SERIDO ORIENTAL PARAIBANO,18,0
2020-06-02,True,Pilar,2511509,MATA PARAIBANA,SAPE,44,0
2020-06-02,True,Pilões,2511608,AGRESTE PARAIBANO,BREJO PARAIBANO,11,0
2020-06-02,True,Pilõezinhos,2511707,AGRESTE PARAIBANO,GUARABIRA,56,0
2020-06-02,True,Pirpirituba,2511806,AGRESTE PARAIBANO,GUARABIRA,21,0
2020-06-02,True,Pitimbu,2511905,MATA PARAIBANA,LITORAL SUL,119,3
2020-06-02,True,Pocinhos,2512002,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,10,0
2020-06-02,True,Poço Dantas,2512036,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-02,True,Poço de José de Moura,2512077,SERTAO PARAIBANO,CAJAZEIRAS,0,0
2020-06-02,True,Pombal,2512101,SERTAO PARAIBANO,SOUSA,66,0
2020-06-02,True,Prata,2512200,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-02,True,Princesa Isabel,2512309,SERTAO PARAIBANO,SERRA DO TEIXEIRA,12,0
2020-06-02,True,Puxinanã,2512408,AGRESTE PARAIBANO,CAMPINA GRANDE,38,0
2020-06-02,True,Queimadas,2512507,AGRESTE PARAIBANO,CAMPINA GRANDE,97,0
2020-06-02,True,Quixabá,2512606,SERTAO PARAIBANO,PATOS,6,0
2020-06-02,True,Remígio,2512705,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,45,2
2020-06-02,True,Riachão,2512747,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,0,0
2020-06-02,True,Riachão do Bacamarte,2512754,AGRESTE PARAIBANO,ITABAIANA,106,0
2020-06-02,True,Riachão do Poço,2512762,MATA PARAIBANA,SAPE,5,1
2020-06-02,True,Riacho de Santo Antônio,2512788,BORBOREMA,CARIRI ORIENTAL,5,0
2020-06-02,True,Riacho dos Cavalos,2512804,SERTAO PARAIBANO,CATOLE DO ROCHA,2,0
2020-06-02,True,Rio Tinto,2512903,MATA PARAIBANA,LITORAL NORTE,57,1
2020-06-02,True,Salgadinho,2513000,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,5,0
2020-06-02,True,Salgado de São Félix,2513109,AGRESTE PARAIBANO,ITABAIANA,29,0
2020-06-02,True,Santa Cecília,2513158,AGRESTE PARAIBANO,UMBUZEIRO,4,0
2020-06-02,True,Santa Cruz,2513208,SERTAO PARAIBANO,SOUSA,0,0
2020-06-02,True,Santa Helena,2513307,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-02,True,Santa Inês,2513356,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-02,True,Santa Luzia,2513406,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,56,2
2020-06-02,True,Santa Rita,2513703,MATA PARAIBANA,JOAO PESSOA,632,65
2020-06-02,True,Santa Teresinha,2513802,SERTAO PARAIBANO,PATOS,16,0
2020-06-02,True,Santana de Mangueira,2513505,SERTAO PARAIBANO,ITAPORANGA,0,0
2020-06-02,True,Santana dos Garrotes,2513604,SERTAO PARAIBANO,PIANCO,1,0
2020-06-02,True,Santo André,2513851,BORBOREMA,CARIRI ORIENTAL,0,0
2020-06-02,True,São Bentinho,2513927,SERTAO PARAIBANO,SOUSA,10,0
2020-06-02,True,São Bento,2513901,SERTAO PARAIBANO,CATOLE DO ROCHA,145,5
2020-06-02,True,São Domingos de Pombal,2513968,SERTAO PARAIBANO,SOUSA,0,0
2020-06-02,True,São Domingos do Cariri,2513943,BORBOREMA,CARIRI ORIENTAL,0,0
2020-06-02,True,São Francisco,2513984,SERTAO PARAIBANO,SOUSA,3,0
2020-06-02,True,São João do Cariri,2514008,BORBOREMA,CARIRI ORIENTAL,9,0
2020-06-02,True,São João do Rio do Peixe,2500700,SERTAO PARAIBANO,CAJAZEIRAS,12,0
2020-06-02,True,São João do Tigre,2514107,BORBOREMA,CARIRI OCIDENTAL,1,0
2020-06-02,True,São José da Lagoa Tapada,2514206,SERTAO PARAIBANO,SOUSA,14,0
2020-06-02,True,São José de Caiana,2514305,SERTAO PARAIBANO,ITAPORANGA,14,0
2020-06-02,True,São José de Espinharas,2514404,SERTAO PARAIBANO,PATOS,3,0
2020-06-02,True,São José de Piranhas,2514503,SERTAO PARAIBANO,CAJAZEIRAS,5,1
2020-06-02,True,São José de Princesa,2514552,SERTAO PARAIBANO,SERRA DO TEIXEIRA,0,0
2020-06-02,True,São José do Bonfim,2514602,SERTAO PARAIBANO,PATOS,14,0
2020-06-02,True,São José do Brejo do Cruz,2514651,SERTAO PARAIBANO,CATOLE DO ROCHA,0,0
2020-06-02,True,São José do Sabugi,2514701,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,65,0
2020-06-02,True,São José dos Cordeiros,2514800,BORBOREMA,CARIRI OCIDENTAL,3,0
2020-06-02,True,São José dos Ramos,2514453,MATA PARAIBANA,SAPE,12,0
2020-06-02,True,São Mamede,2514909,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,13,1
2020-06-02,True,São Miguel de Taipu,2515005,MATA PARAIBANA,SAPE,28,1
2020-06-02,True,São Sebastião de Lagoa de Roça,2515104,AGRESTE PARAIBANO,ESPERANCA,25,2
2020-06-02,True,São Sebastião do Umbuzeiro,2515203,BORBOREMA,CARIRI OCIDENTAL,1,0
2020-06-02,True,São Vicente do Seridó,2515401,BORBOREMA,SERIDO ORIENTAL PARAIBANO,14,0
2020-06-02,True,Sapé,2515302,MATA PARAIBANA,SAPE,220,6
2020-06-02,True,Serra Branca,2515500,BORBOREMA,CARIRI OCIDENTAL,2,0
2020-06-02,True,Serra da Raiz,2515609,AGRESTE PARAIBANO,GUARABIRA,11,0
2020-06-02,True,Serra Grande,2515708,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-02,True,Serra Redonda,2515807,AGRESTE PARAIBANO,CAMPINA GRANDE,48,0
2020-06-02,True,Serraria,2515906,AGRESTE PARAIBANO,BREJO PARAIBANO,13,2
2020-06-02,True,Sertãozinho,2515930,AGRESTE PARAIBANO,GUARABIRA,15,0
2020-06-02,True,Sobrado,2515971,MATA PARAIBANA,SAPE,24,1
2020-06-02,True,Solânea,2516003,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,71,0
2020-06-02,True,Soledade,2516102,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,12,0
2020-06-02,True,Sossêgo,2516151,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,0,0
2020-06-02,True,Sousa,2516201,SERTAO PARAIBANO,SOUSA,210,1
