epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
26,2020-06-24,105,PB,,25,state,39912,993.29862,2659,828,44,0.0207,4018127,True,False
26,2020-06-23,104,PB,,25,state,37253,927.12351,0,784,0,0.021,4018127,False,True
26,2020-06-22,103,PB,,25,state,37253,927.12351,469,784,18,0.021,4018127,False,False
26,2020-06-21,102,PB,,25,state,36784,915.4514,263,766,23,0.0208,4018127,False,False
25,2020-06-20,101,PB,,25,state,36521,908.90606,4761,743,34,0.0203,4018127,False,False
25,2020-06-19,100,PB,,25,state,31760,790.41802,0,709,0,0.0223,4018127,False,True
25,2020-06-18,99,PB,,25,state,31760,790.41802,48,709,13,0.0223,4018127,False,False
25,2020-06-17,98,PB,,25,state,31712,789.22344,1584,696,25,0.0219,4018127,False,False
25,2020-06-16,97,PB,,25,state,30128,749.80208,1460,671,15,0.0223,4018127,False,False
25,2020-06-15,96,PB,,25,state,28668,713.46675,655,656,23,0.0229,4018127,False,False
25,2020-06-14,95,PB,,25,state,28013,697.16562,559,633,10,0.0226,4018127,False,False
24,2020-06-13,94,PB,,25,state,27454,683.25367,898,623,13,0.0227,4018127,False,False
24,2020-06-12,93,PB,,25,state,26556,660.90494,1186,610,40,0.023,4018127,False,False
24,2020-06-11,92,PB,,25,state,25370,631.3887,1338,570,11,0.0225,4018127,False,False
24,2020-06-10,91,PB,,25,state,24032,598.08961,1580,559,25,0.0233,4018127,False,False
24,2020-06-09,90,PB,,25,state,22452,558.7678,1501,534,27,0.0238,4018127,False,False
24,2020-06-08,89,PB,,25,state,20951,521.41209,641,507,23,0.0242,4018127,False,False
24,2020-06-07,88,PB,,25,state,20310,505.45938,523,484,17,0.0238,4018127,False,False
23,2020-06-06,87,PB,,25,state,19787,492.44337,1208,467,16,0.0236,4018127,False,False
23,2020-06-05,86,PB,,25,state,18579,462.37961,1000,451,13,0.0243,4018127,False,False
23,2020-06-04,85,PB,,25,state,17579,437.49239,1561,438,24,0.0249,4018127,False,False
23,2020-06-03,84,PB,,25,state,16018,398.64345,1159,414,35,0.0258,4018127,False,False
23,2020-06-02,83,PB,,25,state,14859,369.79916,1164,379,9,0.0255,4018127,False,False
23,2020-06-01,82,PB,,25,state,13695,340.83044,533,370,10,0.027,4018127,False,False
23,2020-05-31,81,PB,,25,state,13162,327.56555,300,360,14,0.0274,4018127,False,False
22,2020-05-30,80,PB,,25,state,12862,320.09939,851,346,19,0.0269,4018127,False,False
22,2020-05-29,79,PB,,25,state,12011,298.92037,879,327,9,0.0272,4018127,False,False
22,2020-05-28,78,PB,,25,state,11132,277.0445,923,318,20,0.0286,4018127,False,False
22,2020-05-27,77,PB,,25,state,10209,254.0736,1290,298,12,0.0292,4018127,False,False
22,2020-05-26,76,PB,,25,state,8919,221.96909,903,286,7,0.0321,4018127,False,False
22,2020-05-25,75,PB,,25,state,8016,199.49593,193,279,7,0.0348,4018127,False,False
22,2020-05-24,74,PB,,25,state,7823,194.6927,315,272,14,0.0348,4018127,False,False
21,2020-05-23,73,PB,,25,state,7508,186.85323,626,258,10,0.0344,4018127,False,False
21,2020-05-22,72,PB,,25,state,6882,171.27383,644,248,3,0.036,4018127,False,False
21,2020-05-21,71,PB,,25,state,6238,155.24646,400,245,15,0.0393,4018127,False,False
21,2020-05-20,70,PB,,25,state,5838,145.29157,538,230,11,0.0394,4018127,False,False
21,2020-05-19,69,PB,,25,state,5300,131.90225,514,219,12,0.0413,4018127,False,False
21,2020-05-18,68,PB,,25,state,4786,119.11022,439,207,13,0.0433,4018127,False,False
21,2020-05-17,67,PB,,25,state,4347,108.18473,284,194,11,0.0446,4018127,False,False
20,2020-05-16,66,PB,,25,state,4063,101.11676,324,183,13,0.045,4018127,False,False
20,2020-05-15,65,PB,,25,state,3739,93.05331,378,170,10,0.0455,4018127,False,False
20,2020-05-14,64,PB,,25,state,3361,83.64594,316,160,3,0.0476,4018127,False,False
20,2020-05-13,63,PB,,25,state,3045,75.78158,268,157,3,0.0516,4018127,False,False
20,2020-05-12,62,PB,,25,state,2777,69.1118,252,154,15,0.0555,4018127,False,False
20,2020-05-11,61,PB,,25,state,2525,62.84022,184,139,4,0.055,4018127,False,False
20,2020-05-10,60,PB,,25,state,2341,58.26098,185,135,11,0.0577,4018127,False,False
19,2020-05-09,59,PB,,25,state,2156,53.65684,126,124,10,0.0575,4018127,False,False
19,2020-05-08,58,PB,,25,state,2030,50.52105,181,114,3,0.0562,4018127,False,False
19,2020-05-07,57,PB,,25,state,1849,46.01646,192,111,10,0.06,4018127,False,False
19,2020-05-06,56,PB,,25,state,1657,41.23812,164,101,9,0.061,4018127,False,False
19,2020-05-05,55,PB,,25,state,1493,37.15662,132,92,7,0.0616,4018127,False,False
19,2020-05-04,54,PB,,25,state,1361,33.8715,142,85,6,0.0625,4018127,False,False
19,2020-05-03,53,PB,,25,state,1219,30.33752,50,79,3,0.0648,4018127,False,False
18,2020-05-02,52,PB,,25,state,1169,29.09316,135,76,2,0.065,4018127,False,False
18,2020-05-01,51,PB,,25,state,1034,25.73338,108,74,7,0.0716,4018127,False,False
18,2020-04-30,50,PB,,25,state,926,23.04556,112,67,5,0.0724,4018127,False,False
18,2020-04-29,49,PB,,25,state,814,20.25819,116,62,5,0.0762,4018127,False,False
18,2020-04-28,48,PB,,25,state,698,17.37128,65,57,4,0.0817,4018127,False,False
18,2020-04-27,47,PB,,25,state,633,15.75361,90,53,3,0.0837,4018127,False,False
18,2020-04-26,46,PB,,25,state,543,13.51376,44,50,1,0.0921,4018127,False,False
17,2020-04-25,45,PB,,25,state,499,12.41872,52,49,3,0.0982,4018127,False,False
17,2020-04-24,44,PB,,25,state,447,11.12459,61,46,2,0.1029,4018127,False,False
17,2020-04-23,43,PB,,25,state,386,9.60647,41,44,4,0.114,4018127,False,False
17,2020-04-22,42,PB,,25,state,345,8.58609,44,40,1,0.1159,4018127,False,False
17,2020-04-21,41,PB,,25,state,301,7.49105,38,39,6,0.1296,4018127,False,False
17,2020-04-20,40,PB,,25,state,263,6.54534,18,33,1,0.1255,4018127,False,False
17,2020-04-19,39,PB,,25,state,245,6.09737,9,32,3,0.1306,4018127,False,False
16,2020-04-18,38,PB,,25,state,236,5.87338,31,29,1,0.1229,4018127,False,False
16,2020-04-17,37,PB,,25,state,205,5.10188,10,28,2,0.1366,4018127,False,False
16,2020-04-16,36,PB,,25,state,195,4.85301,30,26,2,0.1333,4018127,False,False
16,2020-04-15,35,PB,,25,state,165,4.10639,13,24,3,0.1455,4018127,False,False
16,2020-04-14,34,PB,,25,state,152,3.78286,16,21,5,0.1382,4018127,False,False
16,2020-04-13,33,PB,,25,state,136,3.38466,25,16,3,0.1176,4018127,False,False
16,2020-04-12,32,PB,,25,state,111,2.76248,10,13,0,0.1171,4018127,False,False
15,2020-04-11,31,PB,,25,state,101,2.51361,16,13,2,0.1287,4018127,False,False
15,2020-04-10,30,PB,,25,state,85,2.11541,6,11,0,0.1294,4018127,False,False
15,2020-04-09,29,PB,,25,state,79,1.96609,24,11,4,0.1392,4018127,False,False
15,2020-04-08,28,PB,,25,state,55,1.3688,14,7,3,0.1273,4018127,False,False
15,2020-04-07,27,PB,,25,state,41,1.02038,5,4,0,0.0976,4018127,False,False
15,2020-04-06,26,PB,,25,state,36,0.89594,1,4,0,0.1111,4018127,False,False
15,2020-04-05,25,PB,,25,state,35,0.87105,1,4,1,0.1143,4018127,False,False
14,2020-04-04,24,PB,,25,state,34,0.84617,2,3,2,0.0882,4018127,False,False
14,2020-04-03,23,PB,,25,state,32,0.79639,3,1,0,0.0312,4018127,False,False
14,2020-04-02,22,PB,,25,state,29,0.72173,8,1,0,0.0345,4018127,False,False
14,2020-04-01,21,PB,,25,state,21,0.52263,3,1,0,0.0476,4018127,False,False
14,2020-03-31,20,PB,,25,state,18,0.44797,1,1,1,0.0556,4018127,False,False
14,2020-03-30,19,PB,,25,state,17,0.42308,3,0,0,0.0,4018127,False,False
14,2020-03-29,18,PB,,25,state,14,0.34842,0,0,0,0.0,4018127,False,False
13,2020-03-28,17,PB,,25,state,14,0.34842,4,0,0,0.0,4018127,False,False
13,2020-03-27,16,PB,,25,state,10,0.24887,4,0,0,0.0,4018127,False,False
13,2020-03-26,15,PB,,25,state,6,0.14932,1,0,0,0.0,4018127,False,False
13,2020-03-25,14,PB,,25,state,5,0.12444,2,0,0,0.0,4018127,False,False
13,2020-03-24,13,PB,,25,state,3,0.07466,1,0,0,0.0,4018127,False,False
13,2020-03-23,12,PB,,25,state,2,0.04977,1,0,0,0.0,4018127,False,False
13,2020-03-22,11,PB,,25,state,1,0.02489,0,0,0,0.0,4018127,False,False
12,2020-03-21,10,PB,,25,state,1,0.02489,0,0,0,0.0,4018127,False,False
12,2020-03-20,9,PB,,25,state,1,0.02489,0,0,0,0.0,4018127,False,False
12,2020-03-19,8,PB,,25,state,1,0.02489,0,0,0,0.0,4018127,False,False
12,2020-03-18,7,PB,,25,state,1,0.02489,1,0,0,0.0,4018127,False,False
12,2020-03-17,6,PB,,25,state,0,,0,0,0,0.0,4018127,False,False
12,2020-03-16,5,PB,,25,state,0,,0,0,0,0.0,4018127,False,False
12,2020-03-15,4,PB,,25,state,0,,0,0,0,0.0,4018127,False,False
11,2020-03-14,3,PB,,25,state,0,,0,0,0,0.0,4018127,False,False
11,2020-03-13,2,PB,,25,state,0,,0,0,0,0.0,4018127,False,False
11,2020-03-12,1,PB,,25,state,0,,0,0,0,0.0,4018127,False,False
