data,ultima_atualizacao,mesorregiao,confirmadosAcumulados,mortesAcumuladas
2020-07-25,True,AGRESTE PARAIBANO,26906,426
2020-07-25,True,BORBOREMA,2704,31
2020-07-25,True,MATA PARAIBANA,37227,1027
2020-07-25,True,SERTAO PARAIBANO,8886,191
