data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-07-19,True,Cuité,2505105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,130,1
2020-07-19,True,Cuité de Mamanguape,2505238,MATA PARAIBANA,LITORAL NORTE,83,5
2020-07-19,True,Cuitegi,2505204,AGRESTE PARAIBANO,GUARABIRA,242,4
2020-07-19,True,Curral de Cima,2505279,MATA PARAIBANA,LITORAL NORTE,19,0
2020-07-19,True,Curral Velho,2505303,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-07-19,True,Damião,2505352,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,5,0
2020-07-19,True,Desterro,2505402,SERTAO PARAIBANO,SERRA DO TEIXEIRA,43,1
2020-07-19,True,Diamante,2505600,SERTAO PARAIBANO,ITAPORANGA,4,0
2020-07-19,True,Dona Inês,2505709,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,52,1
2020-07-19,True,Duas Estradas,2505808,AGRESTE PARAIBANO,GUARABIRA,47,1
2020-07-19,True,Emas,2505907,SERTAO PARAIBANO,PIANCO,12,1
2020-07-19,True,Esperança,2506004,AGRESTE PARAIBANO,ESPERANCA,345,4
2020-07-19,True,Fagundes,2506103,AGRESTE PARAIBANO,CAMPINA GRANDE,73,4
2020-07-19,True,Frei Martinho,2506202,BORBOREMA,SERIDO ORIENTAL PARAIBANO,5,0
2020-07-19,True,Gado Bravo,2506251,AGRESTE PARAIBANO,UMBUZEIRO,77,1
2020-07-19,True,Guarabira,2506301,AGRESTE PARAIBANO,GUARABIRA,2883,29
2020-07-19,True,Gurinhém,2506400,AGRESTE PARAIBANO,ITABAIANA,307,3
2020-07-19,True,Gurjão,2506509,BORBOREMA,CARIRI ORIENTAL,19,1
2020-07-19,True,Ibiara,2506608,SERTAO PARAIBANO,ITAPORANGA,18,0
2020-07-19,True,Igaracy,2502607,SERTAO PARAIBANO,PIANCO,4,0
2020-07-19,True,Imaculada,2506707,SERTAO PARAIBANO,SERRA DO TEIXEIRA,32,0
2020-07-19,True,Ingá,2506806,AGRESTE PARAIBANO,ITABAIANA,637,6
2020-07-19,True,Itabaiana,2506905,AGRESTE PARAIBANO,ITABAIANA,889,14
2020-07-19,True,Itaporanga,2507002,SERTAO PARAIBANO,ITAPORANGA,69,1
2020-07-19,True,Itapororoca,2507101,MATA PARAIBANA,LITORAL NORTE,402,3
2020-07-19,True,Itatuba,2507200,AGRESTE PARAIBANO,ITABAIANA,228,1
2020-07-19,True,Jacaraú,2507309,MATA PARAIBANA,LITORAL NORTE,185,2
2020-07-19,True,Jericó,2507408,SERTAO PARAIBANO,CATOLE DO ROCHA,5,0
2020-07-19,True,João Pessoa,2507507,MATA PARAIBANA,JOAO PESSOA,17821,518
2020-07-19,True,Joca Claudino,2513653,SERTAO PARAIBANO,CAJAZEIRAS,2,0
2020-07-19,True,Juarez Távora,2507606,AGRESTE PARAIBANO,ITABAIANA,226,1
2020-07-19,True,Juazeirinho,2507705,BORBOREMA,SERIDO ORIENTAL PARAIBANO,133,0
2020-07-19,True,Junco do Seridó,2507804,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,32,1
2020-07-19,True,Juripiranga,2507903,MATA PARAIBANA,SAPE,346,6
2020-07-19,True,Juru,2508000,SERTAO PARAIBANO,SERRA DO TEIXEIRA,16,0
2020-07-19,True,Lagoa,2508109,SERTAO PARAIBANO,CATOLE DO ROCHA,4,0
2020-07-19,True,Lagoa de Dentro,2508208,AGRESTE PARAIBANO,GUARABIRA,77,0
2020-07-19,True,Lagoa Seca,2508307,AGRESTE PARAIBANO,CAMPINA GRANDE,512,8
2020-07-19,True,Lastro,2508406,SERTAO PARAIBANO,SOUSA,15,0
2020-07-19,True,Livramento,2508505,BORBOREMA,CARIRI OCIDENTAL,58,0
2020-07-19,True,Logradouro,2508554,AGRESTE PARAIBANO,GUARABIRA,110,2
