data,ultima_atualizacao,mesorregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-16,True,AGRESTE PARAIBANO,10280,113
2020-06-16,True,BORBOREMA,903,13
2020-06-16,True,MATA PARAIBANA,15956,463
2020-06-16,True,SERTAO PARAIBANO,2422,82
