data,ultima_atualizacao,municipio,codigo,mesorregiao,microrregiao,confirmadosAcumulados,mortesAcumuladas
2020-06-04,True,Cuité,2505105,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,10,1
2020-06-04,True,Cuité de Mamanguape,2505238,MATA PARAIBANA,LITORAL NORTE,10,0
2020-06-04,True,Cuitegi,2505204,AGRESTE PARAIBANO,GUARABIRA,54,1
2020-06-04,True,Curral de Cima,2505279,MATA PARAIBANA,LITORAL NORTE,10,0
2020-06-04,True,Curral Velho,2505303,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-04,True,Damião,2505352,AGRESTE PARAIBANO,CURIMATAU OCIDENTAL,2,0
2020-06-04,True,Desterro,2505402,SERTAO PARAIBANO,SERRA DO TEIXEIRA,11,0
2020-06-04,True,Diamante,2505600,SERTAO PARAIBANO,ITAPORANGA,1,0
2020-06-04,True,Dona Inês,2505709,AGRESTE PARAIBANO,CURIMATAU ORIENTAL,3,0
2020-06-04,True,Duas Estradas,2505808,AGRESTE PARAIBANO,GUARABIRA,28,0
2020-06-04,True,Emas,2505907,SERTAO PARAIBANO,PIANCO,1,0
2020-06-04,True,Esperança,2506004,AGRESTE PARAIBANO,ESPERANCA,69,0
2020-06-04,True,Fagundes,2506103,AGRESTE PARAIBANO,CAMPINA GRANDE,9,0
2020-06-04,True,Frei Martinho,2506202,BORBOREMA,SERIDO ORIENTAL PARAIBANO,0,0
2020-06-04,True,Gado Bravo,2506251,AGRESTE PARAIBANO,UMBUZEIRO,35,1
2020-06-04,True,Guarabira,2506301,AGRESTE PARAIBANO,GUARABIRA,782,4
2020-06-04,True,Gurinhém,2506400,AGRESTE PARAIBANO,ITABAIANA,55,0
2020-06-04,True,Gurjão,2506509,BORBOREMA,CARIRI ORIENTAL,15,1
2020-06-04,True,Ibiara,2506608,SERTAO PARAIBANO,ITAPORANGA,5,0
2020-06-04,True,Igaracy,2502607,SERTAO PARAIBANO,PIANCO,2,0
2020-06-04,True,Imaculada,2506707,SERTAO PARAIBANO,SERRA DO TEIXEIRA,8,0
2020-06-04,True,Ingá,2506806,AGRESTE PARAIBANO,ITABAIANA,92,0
2020-06-04,True,Itabaiana,2506905,AGRESTE PARAIBANO,ITABAIANA,248,3
2020-06-04,True,Itaporanga,2507002,SERTAO PARAIBANO,ITAPORANGA,3,1
2020-06-04,True,Itapororoca,2507101,MATA PARAIBANA,LITORAL NORTE,40,1
2020-06-04,True,Itatuba,2507200,AGRESTE PARAIBANO,ITABAIANA,55,1
2020-06-04,True,Jacaraú,2507309,MATA PARAIBANA,LITORAL NORTE,16,1
2020-06-04,True,Jericó,2507408,SERTAO PARAIBANO,CATOLE DO ROCHA,2,0
2020-06-04,True,João Pessoa,2507507,MATA PARAIBANA,JOAO PESSOA,5319,157
2020-06-04,True,Joca Claudino,2513653,SERTAO PARAIBANO,CAJAZEIRAS,1,0
2020-06-04,True,Juarez Távora,2507606,AGRESTE PARAIBANO,ITABAIANA,37,0
2020-06-04,True,Juazeirinho,2507705,BORBOREMA,SERIDO ORIENTAL PARAIBANO,55,0
2020-06-04,True,Junco do Seridó,2507804,BORBOREMA,SERIDO OCIDENTAL PARAIBANO,12,1
2020-06-04,True,Juripiranga,2507903,MATA PARAIBANA,SAPE,136,1
2020-06-04,True,Juru,2508000,SERTAO PARAIBANO,SERRA DO TEIXEIRA,5,0
2020-06-04,True,Lagoa,2508109,SERTAO PARAIBANO,CATOLE DO ROCHA,3,0
2020-06-04,True,Lagoa de Dentro,2508208,AGRESTE PARAIBANO,GUARABIRA,9,0
2020-06-04,True,Lagoa Seca,2508307,AGRESTE PARAIBANO,CAMPINA GRANDE,131,3
2020-06-04,True,Lastro,2508406,SERTAO PARAIBANO,SOUSA,1,0
2020-06-04,True,Livramento,2508505,BORBOREMA,CARIRI OCIDENTAL,0,0
2020-06-04,True,Logradouro,2508554,AGRESTE PARAIBANO,GUARABIRA,11,0
2020-06-04,True,Lucena,2508604,MATA PARAIBANA,JOAO PESSOA,85,1
2020-06-04,True,Mãe d'Água,2508703,SERTAO PARAIBANO,PATOS,3,0
2020-06-04,True,Malta,2508802,SERTAO PARAIBANO,SOUSA,15,0
