data,classificacao,faixa_etaria,feminino,masculino,total,ultima_atualizacao
2020-06-06,mortos,30 a 39,10,18,28,False
2020-06-06,mortos,40 a 49,19,34,53,False
2020-06-06,mortos,50 a 59,16,41,57,False
2020-06-06,mortos,60 a 69,37,59,96,False
2020-06-06,mortos,70 a 79,29,65,94,False
2020-06-06,mortos,80 ou mais,63,63,126,False
2020-06-07,mortos,00 a 19,1,3,4,False
2020-06-07,mortos,20 a 29,6,3,9,False
2020-06-07,mortos,30 a 39,10,18,28,False
2020-06-07,mortos,40 a 49,20,36,56,False
2020-06-07,mortos,50 a 59,16,43,59,False
2020-06-07,mortos,60 a 69,37,61,98,False
2020-06-07,mortos,70 a 79,32,68,100,False
2020-06-07,mortos,80 ou mais,65,65,130,False
2020-06-08,mortos,00 a 19,1,3,4,False
2020-06-08,mortos,20 a 29,6,3,9,False
2020-06-08,mortos,30 a 39,10,18,28,False
2020-06-08,mortos,40 a 49,20,37,57,False
2020-06-08,mortos,50 a 59,16,49,65,False
2020-06-08,mortos,60 a 69,38,62,100,False
2020-06-08,mortos,70 a 79,36,69,105,False
2020-06-08,mortos,80 ou mais,67,72,139,False
2020-06-09,mortos,00 a 19,1,4,5,False
2020-06-09,mortos,20 a 29,6,3,9,False
2020-06-09,mortos,30 a 39,10,19,29,False
2020-06-09,mortos,40 a 49,22,39,61,False
2020-06-09,mortos,50 a 59,18,51,69,False
2020-06-09,mortos,60 a 69,39,64,103,False
2020-06-09,mortos,70 a 79,36,73,109,False
2020-06-09,mortos,80 ou mais,74,75,149,False
2020-06-10,mortos,00 a 19,1,4,5,False
2020-06-10,mortos,20 a 29,6,3,9,False
2020-06-10,mortos,30 a 39,10,19,29,False
2020-06-10,mortos,40 a 49,24,41,65,False
2020-06-10,mortos,50 a 59,20,52,72,False
2020-06-10,mortos,60 a 69,40,65,105,False
2020-06-10,mortos,70 a 79,40,79,119,False
2020-06-10,mortos,80 ou mais,79,76,155,False
2020-06-11,mortos,00 a 19,1,4,5,False
2020-06-11,mortos,20 a 29,6,3,9,False
2020-06-11,mortos,30 a 39,10,19,29,False
2020-06-11,mortos,40 a 49,24,42,66,False
2020-06-11,mortos,50 a 59,21,53,74,False
2020-06-11,mortos,60 a 69,41,65,106,False
2020-06-11,mortos,70 a 79,41,80,121,False
2020-06-11,mortos,80 ou mais,83,77,160,False
2020-06-12,mortos,00 a 19,1,3,4,True
2020-06-12,mortos,20 a 29,6,4,10,True
2020-06-12,mortos,30 a 39,10,20,30,True
2020-06-12,mortos,40 a 49,25,43,68,True
2020-06-12,mortos,50 a 59,23,55,78,True
2020-06-12,mortos,60 a 69,43,70,113,True
2020-06-12,mortos,70 a 79,50,83,133,True
2020-06-12,mortos,80 ou mais,87,87,174,True
